kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti
Kraj,Hlavní město Praha,21556,14167,14036,2770,"0,06","4,68","0,29",0,392
Kraj,Hlavní město Praha,79964,52277,51895,8137,"0,07","6,11","0,44",0,2485
Kraj,Hlavní město Praha,58353,39306,39116,5100,"0,12","6,42","0,49",0,2310
Kraj,Hlavní město Praha,42205,28561,28428,4095,"0,08","6,15","0,56",0,1774
Kraj,Hlavní město Praha,42687,28376,28221,4444,"0,08","5,67","0,43",0,1273
Kraj,Hlavní město Praha,32506,20139,20018,3004,"0,19","5,95","0,61",0,929
Kraj,Hlavní město Praha,24276,16282,16200,2544,"0,10","5,58","0,41",0,713
Kraj,Hlavní město Praha,6143,4377,4346,865,"0,13","4,85","0,64",0,181
Kraj,Hlavní město Praha,18223,11882,11826,1659,"0,29","6,14","0,42",0,712
Kraj,Hlavní město Praha,12641,8295,8235,1224,"0,06","6,31","0,58",0,397
Kraj,Hlavní město Praha,4815,3496,3471,630,"0,31","6,10","0,72",0,175
Kraj,Hlavní město Praha,32641,21007,20814,3859,"0,07","4,76","0,27",0,587
Kraj,Hlavní město Praha,11243,7986,7944,1293,"0,13","5,76","0,90",0,544
Kraj,Hlavní město Praha,7512,5511,5497,1163,"0,03","4,87","0,34",0,201
Kraj,Hlavní město Praha,7355,5090,5067,971,"0,21","5,05","0,65",0,167
Kraj,Hlavní město Praha,51837,32808,32571,5288,"0,07","5,41","0,42",0,1360
Kraj,Hlavní město Praha,95350,63911,63462,10281,"0,08","6,02","0,39",0,2815
Kraj,Hlavní město Praha,58953,39040,38802,6517,"0,09","4,97","0,36",0,1402
Kraj,Hlavní město Praha,74849,53613,53196,8312,"0,06","5,43","0,29",0,2458
Kraj,Hlavní město Praha,30570,20242,20064,3145,"0,09","4,87","0,32",0,590
Kraj,Hlavní město Praha,78558,51484,51154,7978,"0,13","5,86","0,40",0,3153
Kraj,Hlavní město Praha,38463,25124,24951,4508,"0,12","5,74","0,37",0,1114
Kraj,Hlavní město Praha,1546,1107,1105,237,"0,09","3,89","0,90",0,54
Kraj,Hlavní město Praha,484,367,363,74,"0,00","3,58","0,27",0,8
Kraj,Hlavní město Praha,957,725,721,147,"0,13","6,10","0,41",0,41
Kraj,Hlavní město Praha,7158,5045,4999,914,"0,04","5,00","0,40",0,225
Kraj,Hlavní město Praha,2598,1853,1842,347,"0,00","4,66","0,54",0,84
Kraj,Hlavní město Praha,3020,2276,2253,483,"0,00","3,77","0,31",0,72
Kraj,Hlavní město Praha,1737,1319,1315,274,"0,15","5,09","0,30",0,39
Kraj,Hlavní město Praha,1790,1351,1339,290,"0,07","4,55","0,82",0,47
Kraj,Hlavní město Praha,2601,1916,1905,335,"0,52","5,77","0,31",0,92
Kraj,Hlavní město Praha,2597,1887,1877,458,"0,15","3,94","0,42",0,60
Kraj,Hlavní město Praha,1032,788,784,170,"0,00","4,33","0,63",0,34
Kraj,Hlavní město Praha,2577,1977,1965,319,"0,05","4,47","0,71",0,55
Kraj,Hlavní město Praha,284,195,194,31,"0,00","9,79","0,00",0,10
Kraj,Hlavní město Praha,748,598,595,116,"0,16","2,85","0,67",0,6
Kraj,Hlavní město Praha,5771,4270,4238,799,"0,04","3,56","0,56",0,152
Kraj,Hlavní město Praha,6550,4542,4509,733,"0,11","4,83","0,59",0,218
Kraj,Hlavní město Praha,1935,1450,1442,330,"0,00","3,95","0,27",0,55
Kraj,Hlavní město Praha,594,420,418,73,"0,23","4,30","1,19",0,16
Kraj,Hlavní město Praha,888,685,680,78,"0,00","2,94","0,00",0,12
Kraj,Hlavní město Praha,1742,1188,1181,186,"0,25","4,40","0,25",0,50
Kraj,Hlavní město Praha,228,167,167,31,"2,39","4,19","0,59",0,6
Kraj,Hlavní město Praha,4717,3142,3120,450,"0,25","6,50","0,25",0,152
Kraj,Hlavní město Praha,399,314,311,67,"0,00","4,82","0,96",0,10
Kraj,Hlavní město Praha,2947,2074,2069,405,"0,33","5,17","0,24",0,49
Kraj,Hlavní město Praha,1658,1259,1248,223,"0,08","5,44","0,48",0,38
Kraj,Hlavní město Praha,2524,1857,1844,355,"0,05","3,68","0,75",0,53
Kraj,Hlavní město Praha,4635,3413,3393,510,"0,08","4,33","0,35",0,145
Kraj,Hlavní město Praha,2145,1588,1581,343,"0,06","3,35","0,18",0,58
Kraj,Hlavní město Praha,1275,975,972,213,"0,10","4,01","0,30",0,33
Kraj,Hlavní město Praha,889,699,693,138,"0,00","3,60","0,14",0,16
Kraj,Hlavní město Praha,2085,1583,1577,292,"0,06","3,48","0,50",0,59
Kraj,Hlavní město Praha,1746,1313,1304,260,"0,00","3,91","0,15",0,52
Kraj,Hlavní město Praha,2945,2166,2158,337,"0,37","4,95","0,37",0,85
Kraj,Hlavní město Praha,7359,5210,5173,905,"0,13","4,92","0,42",0,215
Kraj,Hlavní město Praha,4079,2826,2801,472,"0,03","3,96","0,53",0,125
